GeneID	TranscriptID	GeneDescription	GeneName
AFUN004640	AFUN004640-RA	unspecified product	
AFUN004641	AFUN004641-RA	unspecified product	
AFUN004642	AFUN004642-RA	unspecified product	
AFUN004643	AFUN004643-RA	unspecified product	
AFUN004644	AFUN004644-RA	unspecified product	
AFUN004645	AFUN004645-RA	phosphatidylinositol glycan, class A [Source:Projected from Anopheles gambiae (AGAP011274) VB Community Annotation]	
AFUN004646	AFUN004646-RA	unspecified product	
AFUN004648	AFUN004648-RA	unspecified product	
AFUN004649	AFUN004649-RA	DNA polymerase epsilon subunit [Source:Projected from Anopheles gambiae (AGAP004965) VB Community Annotation]	
AFUN004661	AFUN004661-RA	RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182REN3]	
AFUN004663	AFUN004663-RA	Cir_N domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182REN5]	
AFUN004664	AFUN004664-RA	15 kDa selenoprotein [Source:Projected from Anopheles gambiae (AGAP004986) VB Community Annotation]	
AFUN004665	AFUN004665-RA	unspecified product	
AFUN004666	AFUN004666-RA	unspecified product	
AFUN004668	AFUN004668-RA	multiprotein bridging factor [Source:Projected from Anopheles gambiae (AGAP004990) VB Community Annotation]	
AFUN004669	AFUN004669-RA	20S proteasome subunit beta [Source:Projected from Anopheles gambiae (AGAP004991) VB Community Annotation]	
AFUN004670	AFUN004670-RA	microsomal prostaglandin-E synthase [Source:Projected from Anopheles gambiae (AGAP004992) VB Community Annotation]	
AFUN004682	AFUN004682-RA	melanotransferrin [Source:Projected from Anopheles gambiae (AGAP005003) VB Community Annotation]	
AFUN004683	AFUN004683-RA	kelch domain-containing protein [Source:Projected from Anopheles gambiae (AGAP005004) VB Community Annotation]	
AFUN004684	AFUN004684-RA	AAA_28 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182REQ6]	
AFUN004688	AFUN004688-RA	unspecified product	
AFUN004689	AFUN004689-RA	cuticular protein RR-2 family [Source:Projected from Anopheles gambiae (AGAP000047) VB Community Annotation]	
AFUN004690	AFUN004690-RA	unspecified product	
AFUN004691	AFUN004691-RA	unspecified product	
AFUN004692	AFUN004692-RA	BTB domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182RER4]	
AFUN004693	AFUN004693-RA	unspecified product	
AFUN004694	AFUN004694-RA	unspecified product	
AFUN004695	AFUN004695-RA	Mannose-6-phosphate isomerase [Source:UniProtKB/TrEMBL;Acc:A0A182RER7]	
AFUN004699	AFUN004699-RA	neuronal PAS domain-containing protein [Source:Projected from Anopheles gambiae (AGAP000056) VB Community Annotation]	
AFUN004700	AFUN004700-RA	protein halfway [Source:Projected from Anopheles gambiae (AGAP000601) VB Community Annotation]	
AFUN004701	AFUN004701-RA	unspecified product	
AFUN004702	AFUN004702-RA	unspecified product	
AFUN004703	AFUN004703-RA	unspecified product	
AFUN004704	AFUN004704-RA	unspecified product	
AFUN004705	AFUN004705-RA	BTB domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182RES7]	
AFUN004706	AFUN004706-RA	unspecified product	
AFUN004707	AFUN004707-RA	unspecified product	
AFUN004709	AFUN004709-RA	unspecified product	
AFUN004714	AFUN004714-RA	MAP kinase interacting serine/threonine kinase [Source:Projected from Anopheles gambiae (AGAP003160) VB Community Annotation]	
AFUN004717	AFUN004717-RA	cullin [Source:Projected from Anopheles gambiae (AGAP003605) VB Community Annotation]	
AFUN004718	AFUN004718-RA	Fatty acyl-CoA reductase [Source:UniProtKB/TrEMBL;Acc:A0A182REU0]	
AFUN004718	AFUN004718-RB	Fatty acyl-CoA reductase [Source:UniProtKB/TrEMBL;Acc:A0A182REU0]	
AFUN004719	AFUN004719-RA	Cad96Cb, isoform B [Source:Projected from Anopheles gambiae (AGAP003607) UniProtKB/TrEMBL;Acc:A0A1S4GJ87]	
AFUN004720	AFUN004720-RA	Cytochrome P450 [Source:UniProtKB/TrEMBL;Acc:A0A182REU2]	CYP4AA1
AFUN004721	AFUN004721-RA	unspecified product	
AFUN004722	AFUN004722-RA	unspecified product	
AFUN004723	AFUN004723-RA	Fatty acyl-CoA reductase [Source:Projected from Anopheles gambiae (AGAP003611) UniProtKB/TrEMBL;Acc:Q7QAN3]	
AFUN004724	AFUN004724-RA	unspecified product	
AFUN004725	AFUN004725-RA	Palmitoyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A182REU7]	
AFUN004726	AFUN004726-RA	unspecified product	
AFUN004727	AFUN004727-RA	unspecified product	
AFUN004728	AFUN004728-RA	unspecified product	
AFUN004729	AFUN004729-RA	unspecified product	
AFUN004731	AFUN004731-RA	unspecified product	
AFUN004733	AFUN004733-RA	unspecified product	
AFUN004734	AFUN004734-RA	Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182REV6]	
AFUN004735	AFUN004735-RA	transcription elongation factor SPT6 [Source:Projected from Anopheles gambiae (AGAP003619) VB Community Annotation]	
AFUN004736	AFUN004736-RA	unspecified product	
AFUN004737	AFUN004737-RA	coiled-coil domain-containing protein [Source:Projected from Anopheles gambiae (AGAP003621) VB Community Annotation]	
AFUN004738	AFUN004738-RA	Queuine tRNA-ribosyltransferase catalytic subunit [Source:Projected from Anopheles gambiae (AGAP003622) UniProtKB/TrEMBL;Acc:Q7QAM7]	
AFUN004739	AFUN004739-RA	long-chain acyl-CoA synthetase [Source:Projected from Anopheles gambiae (AGAP003623) VB Community Annotation]	
AFUN004739	AFUN004739-RB	long-chain acyl-CoA synthetase [Source:Projected from Anopheles gambiae (AGAP003623) VB Community Annotation]	
AFUN004739	AFUN004739-RC	long-chain acyl-CoA synthetase [Source:Projected from Anopheles gambiae (AGAP003623) VB Community Annotation]	
AFUN004740	AFUN004740-RA	C-type lectin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182REW2]	
AFUN004740	AFUN004740-RB	C-type lectin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182REW2]	
AFUN004741	AFUN004741-RA	Peptidase S1 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182REW3]	
AFUN004742	AFUN004742-RA	unspecified product	
AFUN004743	AFUN004743-RA	Protein PTCD3-like protein, mitochondrial [Source:Projected from Anopheles gambiae (AGAP009772) VB Community Annotation]	
AFUN004744	AFUN004744-RA	LRRCT domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182REW6]	
AFUN004745	AFUN004745-RA	UDENN domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182REW7]	
AFUN004745	AFUN004745-RB	UDENN domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182REW7]	
AFUN004746	AFUN004746-RA	unspecified product	
AFUN004747	AFUN004747-RA	anoctamin-10 [Source:Projected from Anopheles gambiae (AGAP009776) VB Community Annotation]	
AFUN004748	AFUN004748-RA	mothers against decapentaplegic homolog 2/3 [Source:Projected from Anopheles gambiae (AGAP009777) VB Community Annotation]	
AFUN004748	AFUN004748-RB	mothers against decapentaplegic homolog 2/3 [Source:Projected from Anopheles gambiae (AGAP009777) VB Community Annotation]	
AFUN004749	AFUN004749-RA	ANK_REP_REGION domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182REX1]	
AFUN004750	AFUN004750-RA	UBA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182REX2]	
AFUN004752	AFUN004752-RA	methylosome protein [Source:Projected from Anopheles gambiae (AGAP009782) VB Community Annotation]	
AFUN004753	AFUN004753-RA	short/branched chain acyl-CoA dehydrogenase [Source:Projected from Anopheles gambiae (AGAP009783) VB Community Annotation]	
AFUN004754	AFUN004754-RA	serine/threonine-protein kinase Chk2 [Source:Projected from Anopheles gambiae (AGAP009784) VB Community Annotation]	
AFUN004756	AFUN004756-RA	DnaJ (Hsp40) homolog, subfamily C [Source:Projected from Anopheles gambiae (AGAP009787) VB Community Annotation]	
AFUN004757	AFUN004757-RA	translocation protein SEC62 [Source:Projected from Anopheles gambiae (AGAP009788) VB Community Annotation]	
AFUN004758	AFUN004758-RA	unspecified product	
AFUN004759	AFUN004759-RA	cuticular protein [Source:Projected from Anopheles gambiae (AGAP009790) VB Community Annotation]	
AFUN004760	AFUN004760-RA	Neprilysin, neutral endopeptidase 1 [Source:UniProtKB/TrEMBL;Acc:A0A182REY2]	Nep1
AFUN004761	AFUN004761-RA	Importin subunit alpha [Source:UniProtKB/TrEMBL;Acc:A0A182REY3]	
AFUN004762	AFUN004762-RA	unspecified product	
AFUN004763	AFUN004763-RA	Ig-like domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182REY5]	
AFUN004764	AFUN004764-RA	unspecified product	
AFUN004765	AFUN004765-RA	unspecified product	
AFUN004766	AFUN004766-RA	Peptidase S1 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182REY8]	
AFUN004767	AFUN004767-RA	unspecified product	
AFUN004768	AFUN004768-RA	unspecified product	
AFUN004769	AFUN004769-RA	unspecified product	
AFUN004770	AFUN004770-RA	CS domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182REZ2]	
AFUN004771	AFUN004771-RA	Target of poxn [Source:Projected from Anopheles gambiae (AGAP005930) VB Community Annotation]	
AFUN004773	AFUN004773-RA	39S ribosomal protein L36, mitochondrial	mRpL36
AFUN004774	AFUN004774-RA	senataxin [Source:Projected from Anopheles gambiae (AGAP005926) VB Community Annotation]	
AFUN004778	AFUN004778-RA	phosphatidylinositol glycan, class C [Source:Projected from Anopheles gambiae (AGAP005923) VB Community Annotation]	
AFUN004779	AFUN004779-RA	DNA-directed RNA polymerase III subunit RPC5 [Source:Projected from Anopheles gambiae (AGAP005922) VB Community Annotation]	
AFUN004781	AFUN004781-RA	unspecified product	
AFUN004782	AFUN004782-RA	solute carrier family 30 (zinc transporter), member [Source:Projected from Anopheles gambiae (AGAP005918) VB Community Annotation]	
AFUN004782	AFUN004782-RB	solute carrier family 30 (zinc transporter), member [Source:Projected from Anopheles gambiae (AGAP005918) VB Community Annotation]	
AFUN004783	AFUN004783-RA	ATP-dependent DNA helicase Q4 [Source:Projected from Anopheles gambiae (AGAP005917) VB Community Annotation]	
AFUN004784	AFUN004784-RA	ubiquitin-conjugating enzyme E2 M [Source:Projected from Anopheles gambiae (AGAP005916) VB Community Annotation]	
AFUN004785	AFUN004785-RA	WD repeat domain [Source:Projected from Anopheles gambiae (AGAP005915) VB Community Annotation]	
AFUN004786	AFUN004786-RA	unspecified product	
AFUN004788	AFUN004788-RA	unspecified product	
AFUN004789	AFUN004789-RA	unspecified product	
AFUN004790	AFUN004790-RA	autophagy related gene [Source:Projected from Anopheles gambiae (AGAP005910) VB Community Annotation]	
AFUN004792	AFUN004792-RA	CR-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182RF14]	
AFUN004793	AFUN004793-RA	Ig-like domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182RF15]	
AFUN004794	AFUN004794-RA	guanine nucleotide-binding protein G(i) subunit alpha [Source:Projected from Anopheles gambiae (AGAP005904) VB Community Annotation]	
AFUN004797	AFUN004797-RA	unspecified product	
AFUN004799	AFUN004799-RA	unspecified product	
AFUN004800	AFUN004800-RA	JNK1/MAPK8-associated membrane protein [Source:Projected from Anopheles gambiae (AGAP001461) VB Community Annotation]	
AFUN004801	AFUN004801-RA	HTH psq-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182RF23]	
AFUN004802	AFUN004802-RA	unspecified product	
AFUN004803	AFUN004803-RA	cyclic AMP-responsive element-binding protein [Source:Projected from Anopheles gambiae (AGAP001464) VB Community Annotation]	
AFUN004803	AFUN004803-RB	cyclic AMP-responsive element-binding protein [Source:Projected from Anopheles gambiae (AGAP001464) VB Community Annotation]	
AFUN004804	AFUN004804-RA	BRCT domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A4Y0AV06]	
AFUN004804	AFUN004804-RB	BRCT domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A4Y0AV06]	
AFUN004805	AFUN004805-RA	unspecified product	
AFUN004807	AFUN004807-RA	unspecified product	
AFUN004808	AFUN004808-RA	Geranylgeranyl transferase type-2 subunit beta [Source:UniProtKB/TrEMBL;Acc:A0A182RF30]	
AFUN004809	AFUN004809-RA	mannose-1-phosphate guanylyltransferase [Source:Projected from Anopheles gambiae (AGAP001299) VB Community Annotation]	
AFUN004810	AFUN004810-RA	unspecified product	
AFUN004811	AFUN004811-RA	solute carrier family [Source:Projected from Anopheles gambiae (AGAP001297) VB Community Annotation]	
AFUN004812	AFUN004812-RA	E3 ubiquitin-protein ligase TRIP12 [Source:Projected from Anopheles gambiae (AGAP001296) VB Community Annotation]	
AFUN004813	AFUN004813-RA	unspecified product	
AFUN004814	AFUN004814-RA	unspecified product	
AFUN004815	AFUN004815-RA	unspecified product	
AFUN004818	AFUN004818-RA	manganese-iron superoxide dismutase 1	MnSOD1
AFUN004819	AFUN004819-RA	unspecified product	
AFUN004820	AFUN004820-RA	pre-mRNA-splicing factor SYF2 [Source:Projected from Anopheles gambiae (AGAP010515) VB Community Annotation]	
AFUN004821	AFUN004821-RA	activator of 90 kDa heat shock protein ATPase [Source:Projected from Anopheles gambiae (AGAP010514) VB Community Annotation]	
AFUN004822	AFUN004822-RA	Chitin-binding type-2 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182RF44]	
AFUN004827	AFUN004827-RA	unspecified product	
AFUN004829	AFUN004829-RA	Ras-related protein Rab-43 [Source:Projected from Anopheles gambiae (AGAP007096) VB Community Annotation]	
AFUN004832	AFUN004832-RA	unspecified product	
AFUN004833	AFUN004833-RA	unspecified product	
AFUN004834	AFUN004834-RA	CWF19-like protein 1 homolog [Source:Projected from Anopheles gambiae (AGAP007102) VB Community Annotation]	
AFUN004835	AFUN004835-RA	calsyntenin-1 [Source:Projected from Anopheles gambiae (AGAP007103) VB Community Annotation]	
AFUN004836	AFUN004836-RA	farnesyl diphosphate synthase [Source:Projected from Anopheles gambiae (AGAP007104) VB Community Annotation]	
AFUN004837	AFUN004837-RA	unspecified product	
AFUN004838	AFUN004838-RA	ubiquitin carboxyl-terminal hydrolase [Source:Projected from Anopheles gambiae (AGAP007106) VB Community Annotation]	
AFUN004838	AFUN004838-RB	ubiquitin carboxyl-terminal hydrolase [Source:Projected from Anopheles gambiae (AGAP007106) VB Community Annotation]	
AFUN004838	AFUN004838-RC	ubiquitin carboxyl-terminal hydrolase [Source:Projected from Anopheles gambiae (AGAP007106) VB Community Annotation]	
AFUN004839	AFUN004839-RA	DnaJ_C domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182RF61]	
AFUN004840	AFUN004840-RA	TAFH domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A4Y0AVG7]	
AFUN004840	AFUN004840-RB	TAFH domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A4Y0AVG7]	
AFUN004842	AFUN004842-RA	C type lysozyme	LYSC6
AFUN004847	AFUN004847-RA	unspecified product	
AFUN004856	AFUN004856-RA	unspecified product	
AFUN004856	AFUN004856-RB	unspecified product	
AFUN004856	AFUN004856-RC	unspecified product	
AFUN004857	AFUN004857-RA	unspecified product	
AFUN004858	AFUN004858-RA	unspecified product	
AFUN004859	AFUN004859-RA	pleiotropic regulator [Source:Projected from Anopheles gambiae (AGAP005631) VB Community Annotation]	
AFUN004860	AFUN004860-RA	gamma-soluble NSF attachment protein [Source:Projected from Anopheles gambiae (AGAP005632) VB Community Annotation]	
AFUN004861	AFUN004861-RA	unspecified product	
AFUN004866	AFUN004866-RA	aldehyde oxidase [Source:Projected from Anopheles gambiae (AGAP005636) VB Community Annotation]	
AFUN004867	AFUN004867-RA	ATP-binding cassette [Source:UniProtKB/TrEMBL;Acc:A0A182RF89]	
AFUN004868	AFUN004868-RA	pre-mRNA-processing factor [Source:Projected from Anopheles gambiae (AGAP005640) VB Community Annotation]	
AFUN004869	AFUN004869-RA	CSD_1 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182RF91]	
AFUN004870	AFUN004870-RA	chymotrypsin-like protease (Precursor) [Source:Projected from Anopheles gambiae (AGAP005642) VB Community Annotation]	
AFUN004871	AFUN004871-RA	E3 ubiquitin-protein ligase RFWD3 [Source:Projected from Anopheles gambiae (AGAP005643) VB Community Annotation]	
AFUN004872	AFUN004872-RA	Neurotactin [Source:Projected from Anopheles gambiae (AGAP005644) VB Community Annotation]	
AFUN004873	AFUN004873-RA	unspecified product	
AFUN004878	AFUN004878-RA	(acyl-carrier-protein) S-malonyltransferase [Source:Projected from Anopheles gambiae (AGAP005650) VB Community Annotation]	
AFUN004882	AFUN004882-RA	Nitric oxide synthase-interacting protein homolog [Source:Projected from Anopheles gambiae (AGAP005654) UniProtKB/TrEMBL;Acc:Q7Q6V1]	
AFUN004883	AFUN004883-RA	unspecified product	
AFUN004884	AFUN004884-RA	cytochrome P450	CYP305A1
AFUN004890	AFUN004890-RA	acyl-CoA dehydrogenase [Source:Projected from Anopheles gambiae (AGAP005662) VB Community Annotation]	
AFUN004892	AFUN004892-RA	unspecified product	
AFUN004896	AFUN004896-RA	Flap endonuclease 1 [Source:UniProtKB/TrEMBL;Acc:A0A182RFB4]	
AFUN004897	AFUN004897-RA	protein DEK [Source:Projected from Anopheles gambiae (AGAP011447) VB Community Annotation]	
AFUN004898	AFUN004898-RA	far upstream element-binding protein [Source:Projected from Anopheles gambiae (AGAP011446) VB Community Annotation]	
AFUN004899	AFUN004899-RA	unspecified product	
AFUN004901	AFUN004901-RA	unspecified product	
AFUN004902	AFUN004902-RA	dynein heavy chain [Source:Projected from Anopheles gambiae (AGAP011441) VB Community Annotation]	
AFUN004903	AFUN004903-RA	nucleolar protein [Source:Projected from Anopheles gambiae (AGAP011440) VB Community Annotation]	
AFUN004904	AFUN004904-RA	unspecified product	
AFUN004905	AFUN004905-RA	casein kinase II subunit beta [Source:Projected from Anopheles gambiae (AGAP011438) VB Community Annotation]	
AFUN004905	AFUN004905-RB	casein kinase II subunit beta [Source:Projected from Anopheles gambiae (AGAP011438) VB Community Annotation]	
AFUN004909	AFUN004909-RA	unspecified product	
AFUN004911	AFUN004911-RA	solute carrier family 17 member [Source:Projected from Anopheles gambiae (AGAP011426) VB Community Annotation]	
AFUN004912	AFUN004912-RA	structural maintenance of chromosome [Source:Projected from Anopheles gambiae (AGAP011425) VB Community Annotation]	
AFUN004913	AFUN004913-RA	40S ribosomal protein S16 [Source:UniProtKB/TrEMBL;Acc:A0A182RFD1]	RpS16
AFUN004914	AFUN004914-RA	Proteasome subunit beta [Source:UniProtKB/TrEMBL;Acc:A0A182RFD2]	
AFUN004915	AFUN004915-RA	carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase [Source:Projected from Anopheles gambiae (AGAP011422) VB Community Annotation]	
AFUN004922	AFUN004922-RA	unspecified product	
AFUN004923	AFUN004923-RA	unspecified product	
AFUN004926	AFUN004926-RA	unspecified product	
AFUN004928	AFUN004928-RA	F-box protein [Source:Projected from Anopheles gambiae (AGAP012367) VB Community Annotation]	
AFUN004930	AFUN004930-RA	pre-mRNA-splicing factor SYF1 [Source:Projected from Anopheles gambiae (AGAP012369) VB Community Annotation]	
AFUN004931	AFUN004931-RA	low density lipoprotein receptor-related protein 2 precursor [Source:Projected from Anopheles gambiae (AGAP012372) VB Community Annotation]	
AFUN004932	AFUN004932-RA	Poly(A)+ RNA export protein [Source:Projected from Anopheles gambiae (AGAP012373) VB Community Annotation]	
AFUN004933	AFUN004933-RA	NADH dehydrogenase (ubiquinone) 1 beta subcomplex [Source:Projected from Anopheles gambiae (AGAP012374) VB Community Annotation]	
AFUN004934	AFUN004934-RA	protein aurora borealis [Source:Projected from Anopheles gambiae (AGAP012375) VB Community Annotation]	
AFUN004936	AFUN004936-RA	neuropeptide Y receptor [Source:Projected from Anopheles gambiae (AGAP012378) VB Community Annotation]	
AFUN004937	AFUN004937-RA	unspecified product	
AFUN004938	AFUN004938-RA	Small nuclear ribonucleoprotein Sm D3 [Source:UniProtKB/TrEMBL;Acc:A0A182RFF6]	
AFUN004939	AFUN004939-RA	Major facilitator superfamily domain containing [Source:Projected from Anopheles gambiae (AGAP012381) VB Community Annotation]	
AFUN004941	AFUN004941-RA	unspecified product	
AFUN004950	AFUN004950-RA	unspecified product	
AFUN004956	AFUN004956-RA	Alpha-tubulin N-acetyltransferase [Source:Projected from Anopheles gambiae (AGAP005828) UniProtKB/Swiss-Prot;Acc:Q7PNM6]	
AFUN004956	AFUN004956-RB	Alpha-tubulin N-acetyltransferase [Source:Projected from Anopheles gambiae (AGAP005828) UniProtKB/Swiss-Prot;Acc:Q7PNM6]	
AFUN004956	AFUN004956-RC	Alpha-tubulin N-acetyltransferase [Source:Projected from Anopheles gambiae (AGAP005828) UniProtKB/Swiss-Prot;Acc:Q7PNM6]	
AFUN004957	AFUN004957-RA	PH domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182RFH5]	
AFUN004958	AFUN004958-RA	acylglycerol kinase [Source:Projected from Anopheles gambiae (AGAP005825) VB Community Annotation]	
AFUN004959	AFUN004959-RA	presqualene diphosphate phosphatase [Source:Projected from Anopheles gambiae (AGAP005824) VB Community Annotation]	
AFUN004960	AFUN004960-RA	Ubiquitin-related modifier 1 homolog [Source:UniProtKB/TrEMBL;Acc:A0A182RFH8]	
AFUN004964	AFUN004964-RA	unspecified product	
AFUN004965	AFUN004965-RA	40S ribosomal protein S27A	RpS27A
AFUN004965	AFUN004965-RB	40S ribosomal protein S27A	RpS27A
AFUN004966	AFUN004966-RA	unspecified product	
AFUN004966	AFUN004966-RB	unspecified product	
AFUN004967	AFUN004967-RA	Nuclear pore complex protein Nup155 [Source:Projected from Anopheles gambiae (AGAP007999) UniProtKB/TrEMBL;Acc:A0A1S4GWX8]	
AFUN004968	AFUN004968-RA	mitochondrial Rho GTPase [Source:Projected from Anopheles gambiae (AGAP007998) VB Community Annotation]	
AFUN004968	AFUN004968-RB	mitochondrial Rho GTPase [Source:Projected from Anopheles gambiae (AGAP007998) VB Community Annotation]	
AFUN004969	AFUN004969-RA	Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182RFI7]	
AFUN004971	AFUN004971-RA	unspecified product	
AFUN004972	AFUN004972-RA	unspecified product	
AFUN004973	AFUN004973-RA	unspecified product	
AFUN004974	AFUN004974-RA	Lipase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182RFJ2]	
AFUN004975	AFUN004975-RA	Lipase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182RFJ3]	
AFUN004976	AFUN004976-RA	glucosyl/glucuronosyl transferases [Source:Projected from Anopheles gambiae (AGAP007990) VB Community Annotation]	
AFUN004977	AFUN004977-RA	PCI domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182RFJ5]	
AFUN004978	AFUN004978-RA	glycerate kinase [Source:Projected from Anopheles gambiae (AGAP007988) VB Community Annotation]	
AFUN004979	AFUN004979-RA	bone morphogenetic protein 2/4 [Source:Projected from Anopheles gambiae (AGAP007987) VB Community Annotation]	
AFUN004980	AFUN004980-RA	DNA excision repair protein ERCC-1 [Source:Projected from Anopheles gambiae (AGAP004029) VB Community Annotation]	
AFUN004982	AFUN004982-RA	methuselah receptor [Source:Projected from Anopheles gambiae (AGAP004026) VB Community Annotation]	
AFUN004983	AFUN004983-RA	methuselah	GPRMTH5
AFUN004985	AFUN004985-RA	Cysteine protease [Source:UniProtKB/TrEMBL;Acc:A0A182RFK3]	
AFUN004986	AFUN004986-RA	JmjC domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182RFK4]	
AFUN004987	AFUN004987-RA	ubiquitin carboxyl-terminal hydrolase [Source:Projected from Anopheles gambiae (AGAP003643) VB Community Annotation]	
AFUN004988	AFUN004988-RA	28S ribosomal protein S11, mitochondrial	mRpS11
AFUN004989	AFUN004989-RA	kelch-like protein [Source:Projected from Anopheles gambiae (AGAP003645) VB Community Annotation]	
AFUN004989	AFUN004989-RB	kelch-like protein [Source:Projected from Anopheles gambiae (AGAP003645) VB Community Annotation]	
AFUN004990	AFUN004990-RA	unspecified product	
AFUN004992	AFUN004992-RA	unspecified product	
AFUN004993	AFUN004993-RA	translation initiation factor eIF-2B subunit alpha [Source:Projected from Anopheles gambiae (AGAP012611) VB Community Annotation]	
AFUN004995	AFUN004995-RA	unspecified product	
AFUN004996	AFUN004996-RA	unspecified product	
AFUN004997	AFUN004997-RA	unspecified product	
AFUN004998	AFUN004998-RA	unspecified product	
AFUN004999	AFUN004999-RA	Chitin-binding type-2 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182RFL7]	
AFUN005002	AFUN005002-RA	unspecified product	
AFUN005003	AFUN005003-RA	bromodomain and PHD finger-containing protein [Source:Projected from Anopheles gambiae (AGAP007617) VB Community Annotation]	
AFUN005004	AFUN005004-RA	OCIA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182RFM2]	
AFUN005005	AFUN005005-RA	cytosolic nonspecific dipeptidase [Source:Projected from Anopheles gambiae (AGAP007619) VB Community Annotation]	
AFUN005006	AFUN005006-RA	DnaJ homolog subfamily C member [Source:Projected from Anopheles gambiae (AGAP007620) VB Community Annotation]	
AFUN005006	AFUN005006-RB	DnaJ homolog subfamily C member [Source:Projected from Anopheles gambiae (AGAP007620) VB Community Annotation]	
AFUN005007	AFUN005007-RA	cytochrome c oxidase VIIc [Source:Projected from Anopheles gambiae (AGAP007621) VB Community Annotation]	
AFUN005008	AFUN005008-RA	angiotensin-converting enzyme 1	ANCE1
AFUN005009	AFUN005009-RA	CLIP-associating protein 1/2 [Source:Projected from Anopheles gambiae (AGAP007623) VB Community Annotation]	
AFUN005010	AFUN005010-RA	unspecified product	
AFUN005011	AFUN005011-RA	unspecified product	
AFUN005012	AFUN005012-RA	WD repeat-containing protein [Source:Projected from Anopheles gambiae (AGAP007626) VB Community Annotation]	
AFUN005017	AFUN005017-RA	unspecified product	
AFUN005018	AFUN005018-RA	Transmembrane channel-like [Source:Projected from Anopheles gambiae (AGAP007628) VB Community Annotation]	
AFUN005019	AFUN005019-RA	laminin gamma [Source:Projected from Anopheles gambiae (AGAP007629) VB Community Annotation]	
AFUN005020	AFUN005020-RA	unspecified product	
AFUN005022	AFUN005022-RA	solute carrier family 36 (proton-coupled amino acid transporter) [Source:Projected from Anopheles gambiae (AGAP007633) VB Community Annotation]	
AFUN005022	AFUN005022-RB	solute carrier family 36 (proton-coupled amino acid transporter) [Source:Projected from Anopheles gambiae (AGAP007633) VB Community Annotation]	
AFUN005022	AFUN005022-RC	solute carrier family 36 (proton-coupled amino acid transporter) [Source:Projected from Anopheles gambiae (AGAP007633) VB Community Annotation]	
AFUN005022	AFUN005022-RD	solute carrier family 36 (proton-coupled amino acid transporter) [Source:Projected from Anopheles gambiae (AGAP007633) VB Community Annotation]	
AFUN005023	AFUN005023-RA	Ras-related GTP-binding protein C/D [Source:Projected from Anopheles gambiae (AGAP007634) VB Community Annotation]	
AFUN005024	AFUN005024-RA	60S ribosomal protein L7 [Source:Projected from Anopheles gambiae (AGAP007635) VB Community Annotation]	
AFUN005025	AFUN005025-RA	phosphatidate phosphatase LPIN [Source:Projected from Anopheles gambiae (AGAP007636) VB Community Annotation]	
AFUN005025	AFUN005025-RB	phosphatidate phosphatase LPIN [Source:Projected from Anopheles gambiae (AGAP007636) VB Community Annotation]	
AFUN005025	AFUN005025-RC	phosphatidate phosphatase LPIN [Source:Projected from Anopheles gambiae (AGAP007636) VB Community Annotation]	
AFUN005026	AFUN005026-RA	unspecified product	
