Gene_stable_ID	Gene_name	Gene_description
AGAP005894	""	electron-transferring-flavoprotein dehydrogenase [Source:VB Community Annotation]
AGAP005895	""	""
AGAP005896	""	""
AGAP005897	""	ubiquitin-protein ligase E3 B [Source:VB Community Annotation]
AGAP005898	""	nemo like kinase [Source:VB Community Annotation]
AGAP005899	Osi21	protein osiris 21 [Source:VB Community Annotation]
AGAP005901	""	sterile alpha and TIR motif-containing protein 1 [Source:VB Community Annotation]
AGAP005901	""	sterile alpha and TIR motif-containing protein 1 [Source:VB Community Annotation]
AGAP005901	""	sterile alpha and TIR motif-containing protein 1 [Source:VB Community Annotation]
AGAP005902	""	forkhead protein/ forkhead protein domain [Source:VB Community Annotation]
AGAP005903	""	""
AGAP005903	""	""
AGAP005904	""	guanine nucleotide-binding protein G(i) subunit alpha [Source:VB Community Annotation]
AGAP005905	""	""
AGAP005906	Med24	Mediator of RNA polymerase II transcription subunit 24 [Source:UniProtKB/Swiss-Prot;Acc:Q7Q6D9]
AGAP005907	""	AMP dependent ligase [Source:VB Community Annotation]
AGAP005908	""	""
AGAP005909	Med8	Mediator of RNA polymerase II transcription subunit 8 [Source:UniProtKB/Swiss-Prot;Acc:Q7Q6D6]
AGAP005910	APG18B	autophagy related gene [Source:VB Community Annotation]
AGAP005910	APG18B	autophagy related gene [Source:VB Community Annotation]
AGAP005911	""	guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 [Source:VB Community Annotation]
AGAP005912	""	guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 [Source:VB Community Annotation]
AGAP005913	""	guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 [Source:VB Community Annotation]
AGAP005914	SP11644	""
AGAP005915	""	WD repeat domain 16 [Source:VB Community Annotation]
AGAP005916	""	ubiquitin-conjugating enzyme E2 M [Source:VB Community Annotation]
AGAP005917	""	ATP-dependent DNA helicase Q4 [Source:VB Community Annotation]
AGAP005918	""	solute carrier family 30 (zinc transporter), member 1 [Source:VB Community Annotation]
AGAP005919	""	""
AGAP005920	""	histone chaperone ASF1 [Source:VB Community Annotation]
AGAP005921	""	nucleoside-triphosphatase THEP1 [Source:VB Community Annotation]
AGAP005922	""	DNA-directed RNA polymerase III subunit RPC5 [Source:VB Community Annotation]
AGAP005923	""	phosphatidylinositol glycan, class C [Source:VB Community Annotation]
AGAP005924	""	""
AGAP005925	""	Shaker cognate b, isoform B [Source:VB Community Annotation]
AGAP005926	""	senataxin [Source:VB Community Annotation]
AGAP005927	mRpL36	39S ribosomal protein L36, mitochondrial [Source:VB Community Annotation]
AGAP005928	""	""
AGAP005928	""	""
AGAP005929	""	pyridoxine kinase [Source:VB Community Annotation]
AGAP005930	""	Target of poxn [Source:VB Community Annotation]
AGAP005931	""	Differentially expressed in FDCP 8 homolog [Source:VB Community Annotation]
AGAP005932	""	""
AGAP005933	""	NFkappaB essential modulator [Source:VB Community Annotation]
AGAP005934	""	Tumor susceptibility 101 protein [Source:VB Community Annotation]
AGAP005935	""	""
AGAP005936	Pym	Partner of Y14 and mago [Source:UniProtKB/Swiss-Prot;Acc:Q7Q6B5]
AGAP005937	""	translation initiation factor eIF-2B subunit delta [Source:VB Community Annotation]
AGAP005938	""	""
AGAP005939	""	DNA repair protein REV1 [Source:UniProtKB/TrEMBL;Acc:Q7Q6B2]
AGAP005940	""	""
AGAP005940	""	""
AGAP005941	""	""
AGAP005942	""	""
AGAP005942	""	""
AGAP005943	""	""
AGAP005943	""	""
AGAP005944	""	purine nucleoside phosphorylase I, inosine and guanosine-specific family protein [Source:VB Community Annotation]
AGAP005945	pnp	purine-nucleoside phosphorylase [Source:VB Community Annotation]
AGAP005945	pnp	purine-nucleoside phosphorylase [Source:VB Community Annotation]
AGAP005946	""	""
AGAP005947	RpS13	40S ribosomal protein S13 [Source:UniProtKB/Swiss-Prot;Acc:P52811]
AGAP005948	kh	Kynurenine 3-monooxygenase [Source:UniProtKB/Swiss-Prot;Acc:Q7Q6A7]
AGAP005949	""	2-acylglycerol O-acyltransferase 2 [Source:VB Community Annotation]
AGAP005949	""	2-acylglycerol O-acyltransferase 2 [Source:VB Community Annotation]
AGAP005951	""	""
AGAP005952	""	""
AGAP005953	""	calcium homeostasis endoplasmic reticulum protein [Source:VB Community Annotation]
AGAP005954	""	ubiquitin-conjugating enzyme E2 J2 [Source:VB Community Annotation]
AGAP005955	""	E3 ubiquitin-protein ligase MUL1 [Source:VB Community Annotation]
AGAP005956	""	FGGY-family pentulose kinase [Source:VB Community Annotation]
AGAP005957	""	Ribonuclease P/MRP protein subunit POP5 [Source:UniProtKB/TrEMBL;Acc:Q7Q699]
AGAP005958	""	Yellow-g [Source:VB Community Annotation]
AGAP005959	""	Yellow-g2 [Source:VB Community Annotation]
AGAP005960	RpL7a	60S ribosomal protein L7a [Source:UniProtKB/Swiss-Prot;Acc:O76732]
AGAP005961	""	Zyg-11 protein homolog [Source:VB Community Annotation]
AGAP005962	""	""
AGAP005963	""	""
AGAP005964	""	""
AGAP005964	""	""
AGAP005965	""	""
AGAP005966	CPR17	cuticular protein RR-1 family 17 [Source:VB Community Annotation]
AGAP005967	CPR18	cuticular protein RR-1 family 18 [Source:VB Community Annotation]
AGAP005968	CPR19	cuticular protein RR-1 family 19 [Source:VB Community Annotation]
AGAP005969	CPR20	cuticular protein RR-1 family 20 [Source:VB Community Annotation]
AGAP005970	""	""
AGAP005971	""	Phospholipase B-like [Source:UniProtKB/TrEMBL;Acc:Q7Q692]
AGAP005972	""	4-nitrophenylphosphatase [Source:VB Community Annotation]
AGAP005972	""	4-nitrophenylphosphatase [Source:VB Community Annotation]
AGAP005973	""	uncharacterized protein Mettl2 [Source:VB Community Annotation]
AGAP005975	""	chondroitin proteoglycan-2 [Source:VB Community Annotation]
AGAP005976	""	""
AGAP005977	""	ariadne-2 [Source:VB Community Annotation]
AGAP005978	""	zinc finger and SCAN domain containing 2 [Source:VB Community Annotation]
AGAP005978	""	zinc finger and SCAN domain containing 2 [Source:VB Community Annotation]
AGAP005979	""	""
AGAP005980	""	retinol dehydrogenase 13 (all-trans/9-cis) [Source:VB Community Annotation]
AGAP005981	""	DnaJ homolog subfamily A member 1 [Source:VB Community Annotation]
AGAP005982	""	""
AGAP005983	""	solute carrier family 38 (sodium-coupled neutral amino acid transporter) [Source:VB Community Annotation]
AGAP005984	""	fatty acyl-CoA reductase 2 [Source:VB Community Annotation]
AGAP005984	""	fatty acyl-CoA reductase 2 [Source:VB Community Annotation]
AGAP005985	""	fatty acyl-CoA reductase 2 [Source:VB Community Annotation]
AGAP005986	""	fatty acyl-CoA reductase 2 [Source:VB Community Annotation]
AGAP005987	""	""
AGAP005988	""	pyrimidine nucleoside transport protein [Source:VB Community Annotation]
AGAP005989	""	pyrimidine nucleoside transport protein [Source:VB Community Annotation]
AGAP005990	""	glycolipid transfer protein domain-containing protein 1 [Source:VB Community Annotation]
AGAP005991	RpL14	60S ribosomal protein L14 [Source:VB Community Annotation]
AGAP005992	CYP302A1	cytochrome P450 [Source:VB Community Annotation]
AGAP005993	""	""
AGAP005994	""	""
AGAP005995	CPR138	cuticular protein RR-1 family 138 [Source:VB Community Annotation]
AGAP005996	CPR21	cuticular protein RR-1 family 21 [Source:VB Community Annotation]
AGAP005997	CPR22	cuticular protein RR-1 family 22 [Source:VB Community Annotation]
AGAP005998	CPR23	cuticular protein RR-1 family 23 [Source:VB Community Annotation]
AGAP005999	CPR24	cuticular protein RR-1 family 24 [Source:VB Community Annotation]
AGAP006000	CPR25	cuticular protein RR-1 family 25 [Source:VB Community Annotation]
AGAP006001	CPR26	cuticular protein RR-1 family 26 [Source:VB Community Annotation]
AGAP006002	CPR137	cuticular protein RR-1 family 137 [Source:VB Community Annotation]
AGAP006003	CPR27	cuticular protein RR-1 family 27 [Source:VB Community Annotation]
AGAP006004	CPR102	cuticular protein RR-1 family 102 [Source:VB Community Annotation]
AGAP006005	CPR103	cuticular protein RR-1 family 103 [Source:VB Community Annotation]
AGAP006006	CPR104	cuticular protein RR-1 family 104 [Source:VB Community Annotation]
AGAP006007	CPR28	cuticular protein RR-1 family 28 [Source:VB Community Annotation]
AGAP006008	CPR29	cuticular protein RR-1 family 29 [Source:VB Community Annotation]
AGAP006009	CPR30	cuticular protein RR-1 family 30 [Source:VB Community Annotation]
AGAP006010	CPR105	cuticular protein RR-1 family 105 [Source:VB Community Annotation]
AGAP006011	CPR31	cuticular protein RR-1 family 31 [Source:VB Community Annotation]
AGAP006012	CPR32	cuticular protein RR-1 family 32 [Source:VB Community Annotation]
AGAP006013	CPR33	cuticular protein RR-1 family 33 [Source:VB Community Annotation]
AGAP006014	""	""
AGAP006015	""	decaprenyl-diphosphate synthase subunit 2 [Source:VB Community Annotation]
AGAP006016	""	decaprenyl-diphosphate synthase subunit 2 [Source:VB Community Annotation]
AGAP006017	""	serine/threonine-protein phosphatase 6 regulatory subunit 3 [Source:VB Community Annotation]
AGAP006018	""	""
AGAP006018	""	""
AGAP006019	""	maltase [Source:VB Community Annotation]
AGAP006020	""	tryptophan 5-monooxygenase [Source:VB Community Annotation]
AGAP006021	""	JNK-interacting protein 1 [Source:VB Community Annotation]
AGAP006022	Bhlh_PAS	""
AGAP006023	""	tyrosine 3-monooxygenase [Source:VB Community Annotation]
AGAP006023	""	tyrosine 3-monooxygenase [Source:VB Community Annotation]
AGAP006024	""	""
AGAP006025	""	Ras-like protein family member [Source:VB Community Annotation]
AGAP006026	""	""
AGAP006027	GLURI	ionotropic glutamate receptor [Source:VB Community Annotation]
AGAP006028	Rdl	GABA-gated chloride channel subunit [Source:VB Community Annotation]
AGAP006028	Rdl	GABA-gated chloride channel subunit [Source:VB Community Annotation]
AGAP006028	Rdl	GABA-gated chloride channel subunit [Source:VB Community Annotation]
AGAP006029	""	""
AGAP006030	mfrn	mitoferrin [Source:VB Community Annotation]
AGAP006031	""	nuclear pore complex protein Nup54 [Source:VB Community Annotation]
AGAP006032	""	""
AGAP006033	""	""
AGAP006034	""	""
AGAP006035	""	Ras-related protein Rab-36 [Source:VB Community Annotation]
AGAP006036	""	axonemal dynein intermediate chain inner arm i1 [Source:VB Community Annotation]
AGAP006037	RpL24	60S ribosomal protein L24 [Source:VB Community Annotation]
AGAP006038	""	serine/arginine repetitive matrix protein 2 [Source:VB Community Annotation]
AGAP006039	""	""
AGAP006040	""	peroxisomal membrane protein 2 [Source:VB Community Annotation]
AGAP006041	""	E3 ubiquitin-protein ligase RNF5 [Source:VB Community Annotation]
AGAP006042	""	""
AGAP006042	""	""
AGAP006043	""	""
AGAP006044	""	""
AGAP006045	""	protein yorkie [Source:VB Community Annotation]
AGAP006046	Med23	mediator of RNA polymerase II transcription subunit 23 [Source:VB Community Annotation]
AGAP006047	CYP4J9	cytochrome P450 [Source:VB Community Annotation]
AGAP006048	CYP4J5	cytochrome P450 [Source:VB Community Annotation]
AGAP006049	CYP4J10	cytochrome P450 [Source:VB Community Annotation]
AGAP006050	""	AarF domain containing kinase 5 [Source:VB Community Annotation]
AGAP006051	""	pentatricopeptide repeat domain 1 [Source:VB Community Annotation]
AGAP006052	""	""
AGAP006053	""	""
AGAP006054	""	""
AGAP006055	""	NF-kappa-B inhibitor-like protein 2 [Source:VB Community Annotation]
AGAP006056	""	""
AGAP006057	""	multiple coagulation factor deficiency 2 [Source:VB Community Annotation]
AGAP006058	""	heparan sulfate 2-o-sulfotransferase [Source:VB Community Annotation]
AGAP006059	""	""
AGAP006060	""	""
AGAP006061	""	""
AGAP006062	""	""
AGAP006063	""	""
AGAP006064	""	bladder cancer-associated protein [Source:VB Community Annotation]
AGAP006065	""	DNA primase small subunit [Source:VB Community Annotation]
AGAP006066	""	""
AGAP006067	""	""
AGAP006068	""	""
AGAP006068	""	""
AGAP006068	""	""
AGAP006069	""	""
AGAP006070	""	prefoldin 2 [Source:VB Community Annotation]
AGAP006071	""	B9 domain-containing protein 1 [Source:VB Community Annotation]
AGAP006072	""	molybdenum cofactor biosynthesis protein [Source:VB Community Annotation]
AGAP006073	""	""
AGAP006074	Obp71	odorant-binding protein 71 [Source:VB Community Annotation]
AGAP006075	OBP49	odorant-binding protein 49 [Source:VB Community Annotation]
AGAP006076	OBP50	odorant-binding protein 50 [Source:VB Community Annotation]
AGAP006077	OBP51	odorant-binding protein 51 [Source:VB Community Annotation]
AGAP006077	OBP51	odorant-binding protein 51 [Source:VB Community Annotation]
AGAP006078	OBP52	odorant-binding protein 52 [Source:VB Community Annotation]
AGAP006079	OBP53	odorant-binding protein 53 [Source:VB Community Annotation]
AGAP006079	OBP53	odorant-binding protein 53 [Source:VB Community Annotation]
AGAP006080	OBP54	odorant-binding protein 54 [Source:VB Community Annotation]
AGAP006081	OBP55	odorant-binding protein 55 [Source:VB Community Annotation]
AGAP006082	CYP301A1	cytochrome P450 [Source:VB Community Annotation]
AGAP006083	fra	frazzled protein [Source:VB Community Annotation]
AGAP006083	fra	frazzled protein [Source:VB Community Annotation]
AGAP006084	""	""
AGAP006085	""	ADP-ribose pyrophosphatase [Source:VB Community Annotation]
AGAP006086	Cht11	chitinase [Source:VB Community Annotation]
AGAP006087	""	""
AGAP006088	""	""
AGAP006089	""	RNA binding protein fox-1 [Source:VB Community Annotation]
AGAP006090	""	nucleolar protein 15 [Source:VB Community Annotation]
AGAP006091	""	""
AGAP006092	""	U3 small nucleolar RNA-associated protein 4 [Source:VB Community Annotation]
AGAP006093	""	""
AGAP006094	""	ribosomal protein S6 kinase alpha-5 [Source:VB Community Annotation]
AGAP006095	CPR106	cuticular protein RR-1 family 106 [Source:VB Community Annotation]
AGAP006096	SCOT	succinyl-CoA transferase [Source:VB Community Annotation]
AGAP006097	""	target of Myb-like protein 2 [Source:VB Community Annotation]
AGAP006097	""	target of Myb-like protein 2 [Source:VB Community Annotation]
AGAP006098	NOS	nanos [Source:VB Community Annotation]
AGAP006099	""	ubiquinol-cytochrome c reductase core subunit 2 [Source:VB Community Annotation]
AGAP006100	""	syntaxin 8 [Source:VB Community Annotation]
AGAP006101	""	""
AGAP006102	""	""
AGAP006103	""	""
AGAP006103	""	""
AGAP006103	""	""
AGAP006104	""	mitochondrial carnitine/acylcarnitine carrier protein [Source:VB Community Annotation]
AGAP006105	""	""
AGAP006106	""	""
AGAP006107	""	triple functional domain (PTPRF interacting) [Source:VB Community Annotation]
AGAP006107	""	triple functional domain (PTPRF interacting) [Source:VB Community Annotation]
AGAP006107	""	triple functional domain (PTPRF interacting) [Source:VB Community Annotation]
AGAP006108	""	""
AGAP006109	""	""
AGAP006111	""	""
AGAP006112	""	""
AGAP006113	""	""
AGAP006115	""	solute carrier family 4, anion exchanger [Source:VB Community Annotation]
AGAP006115	""	solute carrier family 4, anion exchanger [Source:VB Community Annotation]
AGAP006116	""	TBC1 domain family, member 8B (with GRAM domain) [Source:VB Community Annotation]
AGAP006117	""	""
AGAP006118	""	""
AGAP006119	""	""
AGAP006120	""	""
AGAP006121	""	""
AGAP006122	""	""
AGAP006123	""	""
AGAP006124	""	tRNA (guanine(37)-N1)-methyltransferase [Source:UniProtKB/Swiss-Prot;Acc:Q7Q5Z3]
AGAP006125	""	Density-regulated protein [Source:UniProtKB/TrEMBL;Acc:Q7Q5Z2]
AGAP006126	GPROP8	ultraviolet wavelength sensitive opsin [Source:VB Community Annotation]
AGAP006126	GPROP8	ultraviolet wavelength sensitive opsin [Source:VB Community Annotation]
AGAP006127	""	E3 ubiquitin-protein ligase SIAH1 [Source:VB Community Annotation]
AGAP006128	""	protein AIR1/2 [Source:VB Community Annotation]
AGAP006129	""	""
AGAP006130	eIF3l	Eukaryotic translation initiation factor 3 subunit L [Source:UniProtKB/Swiss-Prot;Acc:Q7Q5Y8]
AGAP006131	""	""
AGAP006132	""	ganglioside-induced differentiation-associated-protein 1 [Source:VB Community Annotation]
AGAP006133	""	nucleosome-remodeling factor subunit BPTF [Source:VB Community Annotation]
AGAP006133	""	nucleosome-remodeling factor subunit BPTF [Source:VB Community Annotation]
AGAP006134	""	""
AGAP006135	""	""
AGAP006136	""	monocyte to macrophage differentiation factor 2 [Source:VB Community Annotation]
AGAP006137	""	""
AGAP006138	""	ATP-dependent RNA helicase DHX33 [Source:VB Community Annotation]
AGAP006139	""	vacuolar protein sorting 26, vps26 [Source:VB Community Annotation]
AGAP006139	""	vacuolar protein sorting 26, vps26 [Source:VB Community Annotation]
AGAP006140	coa1	cytochrome c oxidase assembly factor 1 homolog [Source:VB Community Annotation]
AGAP006141	""	Capping protein (actin filament) muscle Z-line, alpha 1 [Source:VB Community Annotation]
AGAP006141	""	Capping protein (actin filament) muscle Z-line, alpha 1 [Source:VB Community Annotation]
AGAP006142	""	beta-1,3-galactosyltransferase [Source:VB Community Annotation]
AGAP006143	Gr56	gustatory receptor 56 [Source:VB Community Annotation]
AGAP006143	Gr56	gustatory receptor 56 [Source:VB Community Annotation]
AGAP006143	Gr56	gustatory receptor 56 [Source:VB Community Annotation]
AGAP006143	Gr56	gustatory receptor 56 [Source:VB Community Annotation]
AGAP006143	Gr56	gustatory receptor 56 [Source:VB Community Annotation]
AGAP006143	Gr56	gustatory receptor 56 [Source:VB Community Annotation]
AGAP006144	""	Envelysin [Source:VB Community Annotation]
AGAP006145	CPLCA1	cuticular protein 1 in CPLCA family [Source:VB Community Annotation]
AGAP006146	CPLCA2	cuticular protein 2 in CPLCA family [Source:VB Community Annotation]
AGAP006147	""	""
AGAP006148	CPLCA3	cuticular protein 3 in CPLCA family [Source:VB Community Annotation]
AGAP006149	CPLCX3	cuticular protein unclassified [Source:VB Community Annotation]
AGAP006150	""	""
AGAP006151	""	""
AGAP006152	""	""
AGAP006153	""	""
AGAP006154	""	""
AGAP006155	""	""
AGAP006156	""	""
AGAP006157	""	""
AGAP006158	""	""
AGAP006159	""	Ras-related protein Rab-5C [Source:VB Community Annotation]
AGAP006160	""	""
AGAP006161	""	suppressor of G2 allele of SKP1 [Source:VB Community Annotation]
AGAP006162	""	TatD DNase family protein [Source:VB Community Annotation]
AGAP006163	""	""
AGAP006164	""	RAD51-like protein 3 [Source:VB Community Annotation]
AGAP006165	""	E1A-binding protein p400 [Source:VB Community Annotation]
AGAP006165	""	E1A-binding protein p400 [Source:VB Community Annotation]
AGAP006166	""	""
AGAP006167	Or6	odorant receptor 6 [Source:VB Community Annotation]
AGAP006168	""	BMP binding endothelial regulator [Source:VB Community Annotation]
AGAP006169	""	(heparan sulfate)-glucosamine 3-sulfotransferase 5 [Source:VB Community Annotation]
AGAP006170	""	""
AGAP006171	""	protein phosphatase [Source:VB Community Annotation]
AGAP006172	""	Intraflagellar transport protein 20 homolog [Source:VB Community Annotation]
AGAP006173	""	BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein [Source:VB Community Annotation]
AGAP006174	""	""
AGAP006175	""	INO80 complex subunit B [Source:VB Community Annotation]
AGAP006176	""	""
AGAP006176	""	""
AGAP006177	""	""
AGAP006178	""	troponin C [Source:VB Community Annotation]
AGAP006178	""	troponin C [Source:VB Community Annotation]
AGAP006178	""	troponin C [Source:VB Community Annotation]
AGAP006179	""	troponin C [Source:VB Community Annotation]
AGAP006179	""	troponin C [Source:VB Community Annotation]
AGAP006179	""	troponin C [Source:VB Community Annotation]
AGAP006180	""	""
AGAP006181	""	troponin C [Source:VB Community Annotation]
AGAP006182	""	troponin C [Source:VB Community Annotation]
AGAP006183	""	slit protein [Source:VB Community Annotation]
AGAP006184	""	""
AGAP006185	""	""
AGAP006186	Ca-P60A	Calcium-transporting ATPase sarcoplasmic/endoplasmic reticulum type [Source:UniProtKB/Swiss-Prot;Acc:Q7PPA5]
AGAP006186	Ca-P60A	Calcium-transporting ATPase sarcoplasmic/endoplasmic reticulum type [Source:UniProtKB/Swiss-Prot;Acc:Q7PPA5]
AGAP006186	Ca-P60A	Calcium-transporting ATPase sarcoplasmic/endoplasmic reticulum type [Source:UniProtKB/Swiss-Prot;Acc:Q7PPA5]
AGAP006186	Ca-P60A	Calcium-transporting ATPase sarcoplasmic/endoplasmic reticulum type [Source:UniProtKB/Swiss-Prot;Acc:Q7PPA5]
AGAP006186	Ca-P60A	Calcium-transporting ATPase sarcoplasmic/endoplasmic reticulum type [Source:UniProtKB/Swiss-Prot;Acc:Q7PPA5]
AGAP006187	""	Protein G12 [Source:UniProtKB/Swiss-Prot;Acc:Q17040]
AGAP006188	""	""
AGAP006188	""	""
AGAP006190	""	""
AGAP006191	Cht24	chitinase [Source:VB Community Annotation]
AGAP006192	""	chymotrypsin B chain C [Source:VB Community Annotation]
AGAP006193	""	""
AGAP006194	""	""
AGAP006195	""	""
AGAP006196	""	""
AGAP006197	""	""
AGAP006198	""	""
AGAP006199	""	""
AGAP006200	""	""
AGAP006201	""	""
AGAP006202	""	""
AGAP006203	""	F-box protein 28 [Source:VB Community Annotation]
AGAP006204	""	""
AGAP006205	""	ribosome biogenesis ATPase [Source:VB Community Annotation]
AGAP006206	""	carboxypeptidase B [Source:VB Community Annotation]
AGAP006206	""	carboxypeptidase B [Source:VB Community Annotation]
AGAP006207	""	carboxypeptidase B [Source:VB Community Annotation]
AGAP006208	""	carboxypeptidase B [Source:VB Community Annotation]
AGAP006209	""	carboxypeptidase B [Source:VB Community Annotation]
AGAP006210	""	carboxypeptidase B [Source:VB Community Annotation]
AGAP006211	""	""
AGAP006212	""	""
AGAP006213	""	""
AGAP006214	""	""
AGAP006215	GPRMTH1	methuselah receptor 1 [Source:VB Community Annotation]
AGAP006216	GPRMTH2	methuselah receptor 2 [Source:VB Community Annotation]
AGAP006216	GPRMTH2	methuselah receptor 2 [Source:VB Community Annotation]
AGAP006217	""	""
AGAP006218	GPRMTH4	methuselah receptor 4 [Source:VB Community Annotation]
AGAP006219	""	receptor tyrosine kinase-like orphan receptor 1 [Source:VB Community Annotation]
AGAP006220	""	aldehyde oxidase [Source:VB Community Annotation]
AGAP006221	""	aldehyde oxidase [Source:VB Community Annotation]
AGAP006222	""	glucosyl/glucuronosyl transferases [Source:VB Community Annotation]
AGAP006223	""	glucosyl/glucuronosyl transferases [Source:VB Community Annotation]
AGAP006224	""	aldehyde oxidase [Source:VB Community Annotation]
AGAP006225	""	aldehyde oxidase [Source:VB Community Annotation]
AGAP006226	Aldehyde_oxidase	""
AGAP006227	""	alpha esterase [Source:VB Community Annotation]
AGAP006228	COEAE2F	carboxylesterase [Source:VB Community Annotation]
AGAP006229	Vps20	vacuolar protein sorting 20 [Source:VB Community Annotation]
AGAP006231	""	serine/threonine-protein phosphatase dullard homolog [Source:VB Community Annotation]
AGAP006232	""	peroxin-14 [Source:VB Community Annotation]
AGAP006233	""	""
AGAP006234	""	protein SHQ1 [Source:VB Community Annotation]
AGAP006235	""	""
AGAP006236	""	""
AGAP006237	""	Negative elongation factor E [Source:VB Community Annotation]
AGAP006238	""	ubiquitin-conjugating enzyme E2 C [Source:VB Community Annotation]
AGAP006239	""	Protein TSSC1 [Source:VB Community Annotation]
AGAP006240	""	splicing factor 3B subunit 2 [Source:VB Community Annotation]
AGAP006241	""	Innexin inx2 [Source:VB Community Annotation]
AGAP006242	""	""
AGAP006243	""	phosphatidylinositol-4,5-bisphosphate 4-phosphatase [Source:VB Community Annotation]
AGAP006244	""	CTL-like protein 1 [Source:UniProtKB/Swiss-Prot;Acc:Q7Q5R7]
AGAP006245	""	zinc finger matrin-type protein 2 [Source:VB Community Annotation]
AGAP006246	""	Sorcin [Source:VB Community Annotation]
AGAP006247	""	Survival of motor neuron-related-splicing factor 30 [Source:VB Community Annotation]
AGAP006248	Med10	Mediator of RNA polymerase II transcription subunit 10 [Source:UniProtKB/Swiss-Prot;Acc:Q7Q5R5]
AGAP006249	""	solute carrier family 12 (potassium/chloride transporters), member 8 [Source:VB Community Annotation]
AGAP006250	""	eukaryotic elongation factor, selenocysteine-tRNA-specific [Source:VB Community Annotation]
AGAP006251	""	syntaxin 6 [Source:VB Community Annotation]
AGAP006252	""	Cysteine-rich venom protein [Source:VB Community Annotation]
AGAP006253	""	Cysteine-rich venom protein [Source:VB Community Annotation]
AGAP006254	""	polypeptide N-acetylglucosaminyltransferase [Source:VB Community Annotation]
AGAP006254	""	polypeptide N-acetylglucosaminyltransferase [Source:VB Community Annotation]
AGAP006254	""	polypeptide N-acetylglucosaminyltransferase [Source:VB Community Annotation]
AGAP006255	""	""
AGAP006256	""	Cad74A [Source:VB Community Annotation]
AGAP006257	""	""
AGAP006258	PPO2	prophenoloxidase 2 [Source:VB Community Annotation]
AGAP006259	""	""
AGAP006260	""	Z band alternatively spliced PDZ-motif protein 66 [Source:VB Community Annotation]
AGAP006260	""	Z band alternatively spliced PDZ-motif protein 66 [Source:VB Community Annotation]
AGAP006260	""	Z band alternatively spliced PDZ-motif protein 66 [Source:VB Community Annotation]
AGAP006260	""	Z band alternatively spliced PDZ-motif protein 66 [Source:VB Community Annotation]
AGAP006261	CPR135	cuticular protein RR-2 family 135 [Source:VB Community Annotation]
AGAP006262	""	""
AGAP006263	ARR2	arrestin Arr2-like [Source:VB Community Annotation]
AGAP006264	""	Peroxisomal targeting signal 2 receptor [Source:VB Community Annotation]
AGAP006264	""	Peroxisomal targeting signal 2 receptor [Source:VB Community Annotation]
AGAP006265	""	""
AGAP006266	""	HIV Tat-specific factor 1 [Source:VB Community Annotation]
AGAP006267	CTL6	C-type lectin (CTL) [Source:VB Community Annotation]
AGAP006268	""	""
AGAP006269	""	phosphatidylinositol glycan, class O [Source:VB Community Annotation]
AGAP006270	""	fyn-related kinase [Source:VB Community Annotation]
AGAP006271	""	""
AGAP006272	""	""
AGAP006273	ABCB3	ATP-binding cassette transporter (ABC transporter) family B member 3 [Source:VB Community Annotation]
AGAP006274	""	""
AGAP006275	""	""
AGAP006276	""	""
AGAP006277	""	""
AGAP006278	""	""
AGAP006279	""	cell division control protein 42 [Source:VB Community Annotation]
AGAP006280	""	nuclear pore complex protein Nup210 [Source:VB Community Annotation]
AGAP006281	""	""
AGAP006282	""	""
AGAP006283	CPR70	cuticular protein RR-2 family 70 [Source:VB Community Annotation]
AGAP006321	CPR71	cuticular protein RR-2 family 71 [Source:VB Community Annotation]
AGAP006323	""	""
AGAP006324	nompB	no mechanoreceptor potential B [Source:VB Community Annotation]
AGAP006325	""	Tocopherol (alpha) transfer protein-like [Source:VB Community Annotation]
AGAP006327	LRIM6	leucine-rich immune protein (Short) [Source:VB Community Annotation]
AGAP006328	""	heparan sulfate N-deacetylase/N-sulfotransferase NDST2 [Source:VB Community Annotation]
AGAP006330	""	Ccdc109a [Source:VB Community Annotation]
AGAP006339	""	""
AGAP006340	""	misshapen/NIK-related kinase [Source:VB Community Annotation]
AGAP006340	""	misshapen/NIK-related kinase [Source:VB Community Annotation]
AGAP006340	""	misshapen/NIK-related kinase [Source:VB Community Annotation]
AGAP006342	PGRPS3	peptidoglycan recognition protein (short) [Source:VB Community Annotation]
AGAP006343	PGRPS2	peptidoglycan recognition protein (short) [Source:VB Community Annotation]
AGAP006344	""	RAG1-activating protein 1-like protein [Source:VB Community Annotation]
AGAP006345	""	""
AGAP006346	""	protein spinster homolog 2 [Source:VB Community Annotation]
AGAP006346	""	protein spinster homolog 2 [Source:VB Community Annotation]
AGAP006346	""	protein spinster homolog 2 [Source:VB Community Annotation]
AGAP006347	""	potassium voltage-gated channel KQT-like subfamily, invertebrate [Source:VB Community Annotation]
AGAP006347	""	potassium voltage-gated channel KQT-like subfamily, invertebrate [Source:VB Community Annotation]
AGAP006347	""	potassium voltage-gated channel KQT-like subfamily, invertebrate [Source:VB Community Annotation]
AGAP006348	LRIM1	leucine-rich immune protein (Long) [Source:VB Community Annotation]
AGAP006349	""	solute carrier family 19 (thiamine transporter), member 2/3 [Source:VB Community Annotation]
AGAP006350	""	""
